peptide,target,af_score,exp_score,delta
Capi-var1,C3,-10.352,-11.5,1.1479999999999997
Capistruin,C3,-10.352,-11.6,1.2479999999999993
Chaxapeptin,C3,-9.905,-12.0,2.0950000000000006
Lassomycin,C3,-10.43,-11.3,0.870000000000001
MccJ25,C3,-11.079,-15.0,3.9209999999999994
PB1m7,C3,-11.068,-11.5,0.4320000000000004
RES-701-1,C3,-11.201,-12.4,1.1989999999999998
RES-701-3,C3,-11.141,-12.4,1.2590000000000003
Siamycin-I,C3,-11.333,-12.1,0.7669999999999995
Sphingopyxin-I,C3,-12.528,-10.6,-1.9280000000000008
Ubonodin,C3,-11.407,-9.8,-1.6069999999999993
Capi-var1,CLPB,-12.085,-10.8,-1.2850000000000001
Capistruin,CLPB,-13.328,-10.8,-2.5279999999999987
Chaxapeptin,CLPB,-12.573,-11.5,-1.0730000000000004
Lassomycin,CLPB,-12.633,-15.825,3.192
MccJ25,CLPB,-12.965,-12.6,-0.3650000000000002
PB1m7,CLPB,-12.489,-12.3,-0.18900000000000006
RES-701-1,CLPB,-13.208,-12.8,-0.4079999999999995
RES-701-3,CLPB,-13.643,-12.9,-0.7430000000000003
Siamycin-I,CLPB,-13.051,-12.0,-1.0510000000000002
Sphingopyxin-I,CLPB,-14.608,-12.8,-1.8079999999999998
Ubonodin,CLPB,-14.45,-13.9,-0.5499999999999989
Capi-var1,EDNRB,-3.687,-13.2,9.513
Capistruin,EDNRB,-3.714,-13.5,9.786
Chaxapeptin,EDNRB,-5.662,-13.0,7.338
Lassomycin,EDNRB,-3.973,-13.6,9.626999999999999
MccJ25,EDNRB,-4.842,-14.8,9.958000000000002
PB1m7,EDNRB,-3.395,-13.3,9.905000000000001
RES-701-1,EDNRB,-8.384,-14.5,6.116
RES-701-3,EDNRB,-8.394,-14.5,6.106
Capi-var1,FKBP1A,-9.773,-11.9,2.1270000000000007
Capistruin,FKBP1A,-9.709,-11.9,2.1910000000000007
Chaxapeptin,FKBP1A,-10.152,-10.7,0.548
Lassomycin,FKBP1A,-10.701,-11.7,0.9989999999999988
MccJ25,FKBP1A,-11.633,-11.1,-0.5329999999999995
PB1m7,FKBP1A,-10.74,-11.1,0.35999999999999943
RES-701-1,FKBP1A,-13.07,-12.7,-0.370000000000001
RES-701-3,FKBP1A,-12.976,-12.4,-0.5760000000000005
Siamycin-I,FKBP1A,-11.594,-11.4,-0.19399999999999906
Sphingopyxin-I,FKBP1A,-12.221,-11.1,-1.1210000000000004
Ubonodin,FKBP1A,-10.492,-10.3,-0.19200000000000017
Capi-var1,MDM2,-8.161,-9.8,1.6390000000000011
Capistruin,MDM2,-7.077,-9.8,2.7230000000000008
Chaxapeptin,MDM2,-8.155,-9.1,0.9450000000000003
Lassomycin,MDM2,-8.612,-9.9,1.2880000000000003
MccJ25,MDM2,-9.041,-9.5,0.45899999999999963
PB1m7,MDM2,-10.057,-9.8,-0.2569999999999997
RES-701-1,MDM2,-9.914,-11.6,1.686
