id,pep,rec,cx,cy,cz,sx,sy,sz
7000,Capi-var1,af_C3,-49.5,7.6,49.7,38,38,38
7001,Capistruin,af_C3,-49.5,7.6,49.7,38,38,38
7002,Chaxapeptin,af_C3,-49.5,7.6,49.7,38,38,38
7003,Lassomycin,af_C3,-49.5,7.6,49.7,38,38,38
7004,MccJ25,af_C3,-49.5,7.6,49.7,38,38,38
7005,PB1m7,af_C3,-49.5,7.6,49.7,38,38,38
7006,RES-701-1,af_C3,-49.5,7.6,49.7,38,38,38
7007,RES-701-3,af_C3,-49.5,7.6,49.7,38,38,38
7008,Siamycin-I,af_C3,-49.5,7.6,49.7,38,38,38
7009,Sphingopyxin-I,af_C3,-49.5,7.6,49.7,38,38,38
7010,Ubonodin,af_C3,-49.5,7.6,49.7,38,38,38
7011,Capi-var1,af_CLPB,-3.0,12.8,-19.7,112,101,124
7012,Capistruin,af_CLPB,-3.0,12.8,-19.7,112,101,124
7013,Chaxapeptin,af_CLPB,-3.0,12.8,-19.7,112,101,124
7014,Lassomycin,af_CLPB,-3.0,12.8,-19.7,112,101,124
7015,MccJ25,af_CLPB,-3.0,12.8,-19.7,112,101,124
7016,PB1m7,af_CLPB,-3.0,12.8,-19.7,112,101,124
7017,RES-701-1,af_CLPB,-3.0,12.8,-19.7,112,101,124
7018,RES-701-3,af_CLPB,-3.0,12.8,-19.7,112,101,124
7019,Siamycin-I,af_CLPB,-3.0,12.8,-19.7,112,101,124
7020,Sphingopyxin-I,af_CLPB,-3.0,12.8,-19.7,112,101,124
7021,Ubonodin,af_CLPB,-3.0,12.8,-19.7,112,101,124
7022,Capi-var1,af_EDNRB,5.4,1.5,-10.7,38,38,39
7023,Capistruin,af_EDNRB,5.4,1.5,-10.7,38,38,39
7024,Chaxapeptin,af_EDNRB,5.4,1.5,-10.7,38,38,39
7025,Lassomycin,af_EDNRB,5.4,1.5,-10.7,38,38,39
7026,MccJ25,af_EDNRB,5.4,1.5,-10.7,38,38,39
7027,PB1m7,af_EDNRB,5.4,1.5,-10.7,38,38,39
7028,RES-701-1,af_EDNRB,5.4,1.5,-10.7,38,38,39
7029,RES-701-3,af_EDNRB,5.4,1.5,-10.7,38,38,39
7030,Siamycin-I,af_EDNRB,5.4,1.5,-10.7,38,38,39
7031,Sphingopyxin-I,af_EDNRB,5.4,1.5,-10.7,38,38,39
7032,Ubonodin,af_EDNRB,5.4,1.5,-10.7,38,38,39
7033,Capi-var1,af_FKBP1A,-0.3,-0.5,3.0,42,46,55
7034,Capistruin,af_FKBP1A,-0.3,-0.5,3.0,42,46,55
7035,Chaxapeptin,af_FKBP1A,-0.3,-0.5,3.0,42,46,55
7036,Lassomycin,af_FKBP1A,-0.3,-0.5,3.0,42,46,55
7037,MccJ25,af_FKBP1A,-0.3,-0.5,3.0,42,46,55
7038,PB1m7,af_FKBP1A,-0.3,-0.5,3.0,42,46,55
7039,RES-701-1,af_FKBP1A,-0.3,-0.5,3.0,42,46,55
7040,RES-701-3,af_FKBP1A,-0.3,-0.5,3.0,42,46,55
7041,Siamycin-I,af_FKBP1A,-0.3,-0.5,3.0,42,46,55
7042,Sphingopyxin-I,af_FKBP1A,-0.3,-0.5,3.0,42,46,55
7043,Ubonodin,af_FKBP1A,-0.3,-0.5,3.0,42,46,55
7044,Capi-var1,af_MDM2,-0.8,7.1,-15.1,38,38,38
7045,Capistruin,af_MDM2,-0.8,7.1,-15.1,38,38,38
7046,Chaxapeptin,af_MDM2,-0.8,7.1,-15.1,38,38,38
7047,Lassomycin,af_MDM2,-0.8,7.1,-15.1,38,38,38
7048,MccJ25,af_MDM2,-0.8,7.1,-15.1,38,38,38
7049,PB1m7,af_MDM2,-0.8,7.1,-15.1,38,38,38
7050,RES-701-1,af_MDM2,-0.8,7.1,-15.1,38,38,38
7051,RES-701-3,af_MDM2,-0.8,7.1,-15.1,38,38,38
7052,Siamycin-I,af_MDM2,-0.8,7.1,-15.1,38,38,38
7053,Sphingopyxin-I,af_MDM2,-0.8,7.1,-15.1,38,38,38
7054,Ubonodin,af_MDM2,-0.8,7.1,-15.1,38,38,38
7055,Capi-var1,af_NPR1,-7.5,-0.8,27.7,98,90,123
7056,Capistruin,af_NPR1,-7.5,-0.8,27.7,98,90,123
7057,Chaxapeptin,af_NPR1,-7.5,-0.8,27.7,98,90,123
7058,Lassomycin,af_NPR1,-7.5,-0.8,27.7,98,90,123
7059,MccJ25,af_NPR1,-7.5,-0.8,27.7,98,90,123
7060,PB1m7,af_NPR1,-7.5,-0.8,27.7,98,90,123
7061,RES-701-1,af_NPR1,-7.5,-0.8,27.7,98,90,123
7062,RES-701-3,af_NPR1,-7.5,-0.8,27.7,98,90,123
7063,Siamycin-I,af_NPR1,-7.5,-0.8,27.7,98,90,123
7064,Sphingopyxin-I,af_NPR1,-7.5,-0.8,27.7,98,90,123
7065,Ubonodin,af_NPR1,-7.5,-0.8,27.7,98,90,123
7066,Capi-var1,af_PLXNB1,11.3,13.2,-0.1,38,38,38
7067,Capistruin,af_PLXNB1,11.3,13.2,-0.1,38,38,38
7068,Chaxapeptin,af_PLXNB1,11.3,13.2,-0.1,38,38,38
7069,Lassomycin,af_PLXNB1,11.3,13.2,-0.1,38,38,38
7070,MccJ25,af_PLXNB1,11.3,13.2,-0.1,38,38,38
7071,PB1m7,af_PLXNB1,11.3,13.2,-0.1,38,38,38
7072,RES-701-1,af_PLXNB1,11.3,13.2,-0.1,38,38,38
7073,RES-701-3,af_PLXNB1,11.3,13.2,-0.1,38,38,38
7074,Siamycin-I,af_PLXNB1,11.3,13.2,-0.1,38,38,38
7075,Sphingopyxin-I,af_PLXNB1,11.3,13.2,-0.1,38,38,38
7076,Ubonodin,af_PLXNB1,11.3,13.2,-0.1,38,38,38
7077,Capi-var1,af_POLR2A,-12.0,-6.5,-33.5,120,64,106
7078,Capistruin,af_POLR2A,-12.0,-6.5,-33.5,120,64,106
7079,Chaxapeptin,af_POLR2A,-12.0,-6.5,-33.5,120,64,106
7080,Lassomycin,af_POLR2A,-12.0,-6.5,-33.5,120,64,106
7081,MccJ25,af_POLR2A,-12.0,-6.5,-33.5,120,64,106
7082,PB1m7,af_POLR2A,-12.0,-6.5,-33.5,120,64,106
7083,RES-701-1,af_POLR2A,-12.0,-6.5,-33.5,120,64,106
7084,RES-701-3,af_POLR2A,-12.0,-6.5,-33.5,120,64,106
7085,Siamycin-I,af_POLR2A,-12.0,-6.5,-33.5,120,64,106
7086,Sphingopyxin-I,af_POLR2A,-12.0,-6.5,-33.5,120,64,106
7087,Ubonodin,af_POLR2A,-12.0,-6.5,-33.5,120,64,106
7088,Capi-var1,af_PPIA,-0.4,-15.2,-6.5,56,53,83
7089,Capistruin,af_PPIA,-0.4,-15.2,-6.5,56,53,83
7090,Chaxapeptin,af_PPIA,-0.4,-15.2,-6.5,56,53,83
7091,Lassomycin,af_PPIA,-0.4,-15.2,-6.5,56,53,83
7092,MccJ25,af_PPIA,-0.4,-15.2,-6.5,56,53,83
7093,PB1m7,af_PPIA,-0.4,-15.2,-6.5,56,53,83
7094,RES-701-1,af_PPIA,-0.4,-15.2,-6.5,56,53,83
7095,RES-701-3,af_PPIA,-0.4,-15.2,-6.5,56,53,83
7096,Siamycin-I,af_PPIA,-0.4,-15.2,-6.5,56,53,83
7097,Sphingopyxin-I,af_PPIA,-0.4,-15.2,-6.5,56,53,83
7098,Ubonodin,af_PPIA,-0.4,-15.2,-6.5,56,53,83
