peptide,EDNRB,PLXNB1,POLR2A,PPIA,FKBP1A,NPR1,C3,MDM2,ITGAVB3,CLPB,CTRL_9KDF
RES-701-3,-14.5,-11.2,-14.5,-13.0,-12.4,-12.5,-12.4,-11.5,-11.3,-12.9,-12.2
MccJ25,-14.8,-10.8,-15.8,-13.3,-11.1,-12.0,-15.0,-9.5,-10.9,-12.6,
Capistruin,-13.5,-11.5,-15.4,-11.5,-11.9,-11.0,-11.6,-9.8,-11.3,-10.8,
Siamycin-I,-13.7,-12.2,-13.7,-12.7,-11.4,-11.8,-12.1,-9.6,-11.5,-12.0,
Chaxapeptin,-13.0,-11.3,-14.6,-11.9,-10.7,-12.4,-12.0,-9.1,-10.9,-11.5,
Sphingopyxin-I,-13.4,-12.1,-13.9,-13.0,-11.1,-12.2,-10.6,-9.2,-11.2,-12.8,
Lassomycin,-13.6,-11.8,-13.1,-12.3,-11.7,-12.2,-11.3,-9.9,-10.4,,
Ubonodin,-15.8,-9.7,-15.7,-14.0,-10.3,-14.0,-9.8,-9.2,-10.7,-13.9,
RES-701-1,-14.5,-11.3,-14.4,-13.0,-12.7,-12.2,-12.4,-11.6,-11.1,-12.8,
PB1m7,-13.3,-10.9,-16.0,-12.4,-11.1,-12.4,-11.5,-9.8,-10.9,-12.3,
Capi-var1,-13.2,-10.7,-15.4,-11.3,-11.9,-10.9,-11.5,-9.8,-11.3,-10.8,
