id,pep,rec,cx,cy,cz,sx,sy,sz
1,RES-701-3,EDNRB,113.4,124.9,124.8,65,95,126
2,RES-701-3,PLXNB1,40.7,-13.4,10.5,38,38,38
3,RES-701-3,POLR2A,136.0,120.6,144.4,120,64,106
4,RES-701-3,PPIA,-1.5,65.7,57.6,56,53,83
5,RES-701-3,FKBP1A,15.0,31.5,15.8,42,46,55
6,RES-701-3,NPR1,-7.5,-0.8,27.7,98,90,123
7,RES-701-3,C3,36.1,20.3,-36.6,38,38,38
8,RES-701-3,MDM2,23.5,-25.5,-7.6,38,38,38
9,RES-701-3,ITGAVB3,19.1,44.4,43.9,38,38,38
10,RES-701-3,CLPB,-3.0,12.8,-19.7,112,101,124
11,MccJ25,EDNRB,113.4,124.9,124.8,65,95,126
12,MccJ25,PLXNB1,40.7,-13.4,10.5,38,38,38
13,MccJ25,POLR2A,136.0,120.6,144.4,120,64,106
14,MccJ25,PPIA,-1.5,65.7,57.6,56,53,83
15,MccJ25,FKBP1A,15.0,31.5,15.8,42,46,55
16,MccJ25,NPR1,-7.5,-0.8,27.7,98,90,123
17,MccJ25,C3,36.1,20.3,-36.6,38,38,38
18,MccJ25,MDM2,23.5,-25.5,-7.6,38,38,38
19,MccJ25,ITGAVB3,19.1,44.4,43.9,38,38,38
20,MccJ25,CLPB,-3.0,12.8,-19.7,112,101,124
21,Capistruin,EDNRB,113.4,124.9,124.8,65,95,126
22,Capistruin,PLXNB1,40.7,-13.4,10.5,38,38,38
23,Capistruin,POLR2A,136.0,120.6,144.4,120,64,106
24,Capistruin,PPIA,-1.5,65.7,57.6,56,53,83
25,Capistruin,FKBP1A,15.0,31.5,15.8,42,46,55
26,Capistruin,NPR1,-7.5,-0.8,27.7,98,90,123
27,Capistruin,C3,36.1,20.3,-36.6,38,38,38
28,Capistruin,MDM2,23.5,-25.5,-7.6,38,38,38
29,Capistruin,ITGAVB3,19.1,44.4,43.9,38,38,38
30,Capistruin,CLPB,-3.0,12.8,-19.7,112,101,124
31,Siamycin-I,EDNRB,113.4,124.9,124.8,65,95,126
32,Siamycin-I,PLXNB1,40.7,-13.4,10.5,38,38,38
33,Siamycin-I,POLR2A,136.0,120.6,144.4,120,64,106
34,Siamycin-I,PPIA,-1.5,65.7,57.6,56,53,83
35,Siamycin-I,FKBP1A,15.0,31.5,15.8,42,46,55
36,Siamycin-I,NPR1,-7.5,-0.8,27.7,98,90,123
37,Siamycin-I,C3,36.1,20.3,-36.6,38,38,38
38,Siamycin-I,MDM2,23.5,-25.5,-7.6,38,38,38
39,Siamycin-I,ITGAVB3,19.1,44.4,43.9,38,38,38
40,Siamycin-I,CLPB,-3.0,12.8,-19.7,112,101,124
41,Chaxapeptin,EDNRB,113.4,124.9,124.8,65,95,126
42,Chaxapeptin,PLXNB1,40.7,-13.4,10.5,38,38,38
43,Chaxapeptin,POLR2A,136.0,120.6,144.4,120,64,106
44,Chaxapeptin,PPIA,-1.5,65.7,57.6,56,53,83
45,Chaxapeptin,FKBP1A,15.0,31.5,15.8,42,46,55
46,Chaxapeptin,NPR1,-7.5,-0.8,27.7,98,90,123
47,Chaxapeptin,C3,36.1,20.3,-36.6,38,38,38
48,Chaxapeptin,MDM2,23.5,-25.5,-7.6,38,38,38
49,Chaxapeptin,ITGAVB3,19.1,44.4,43.9,38,38,38
50,Chaxapeptin,CLPB,-3.0,12.8,-19.7,112,101,124
51,Sphingopyxin-I,EDNRB,113.4,124.9,124.8,65,95,126
52,Sphingopyxin-I,PLXNB1,40.7,-13.4,10.5,38,38,38
53,Sphingopyxin-I,POLR2A,136.0,120.6,144.4,120,64,106
54,Sphingopyxin-I,PPIA,-1.5,65.7,57.6,56,53,83
55,Sphingopyxin-I,FKBP1A,15.0,31.5,15.8,42,46,55
56,Sphingopyxin-I,NPR1,-7.5,-0.8,27.7,98,90,123
57,Sphingopyxin-I,C3,36.1,20.3,-36.6,38,38,38
58,Sphingopyxin-I,MDM2,23.5,-25.5,-7.6,38,38,38
59,Sphingopyxin-I,ITGAVB3,19.1,44.4,43.9,38,38,38
60,Sphingopyxin-I,CLPB,-3.0,12.8,-19.7,112,101,124
61,Lassomycin,EDNRB,113.4,124.9,124.8,65,95,126
62,Lassomycin,PLXNB1,40.7,-13.4,10.5,38,38,38
63,Lassomycin,POLR2A,136.0,120.6,144.4,120,64,106
64,Lassomycin,PPIA,-1.5,65.7,57.6,56,53,83
65,Lassomycin,FKBP1A,15.0,31.5,15.8,42,46,55
66,Lassomycin,NPR1,-7.5,-0.8,27.7,98,90,123
67,Lassomycin,C3,36.1,20.3,-36.6,38,38,38
68,Lassomycin,MDM2,23.5,-25.5,-7.6,38,38,38
69,Lassomycin,ITGAVB3,19.1,44.4,43.9,38,38,38
70,Lassomycin,CLPB,-3.0,12.8,-19.7,112,101,124
71,Ubonodin,EDNRB,113.4,124.9,124.8,65,95,126
72,Ubonodin,PLXNB1,40.7,-13.4,10.5,38,38,38
73,Ubonodin,POLR2A,136.0,120.6,144.4,120,64,106
74,Ubonodin,PPIA,-1.5,65.7,57.6,56,53,83
75,Ubonodin,FKBP1A,15.0,31.5,15.8,42,46,55
76,Ubonodin,NPR1,-7.5,-0.8,27.7,98,90,123
77,Ubonodin,C3,36.1,20.3,-36.6,38,38,38
78,Ubonodin,MDM2,23.5,-25.5,-7.6,38,38,38
79,Ubonodin,ITGAVB3,19.1,44.4,43.9,38,38,38
80,Ubonodin,CLPB,-3.0,12.8,-19.7,112,101,124
