peptide_id,target_id,binding_prob,af_score,exp_score,dock_worst,dock_weighted,trust_exp,dock_source,unreliable,rank_P0_exp_only,rank_P1_worst_of_two,rank_P2_trust_weighted,rank_min,rank_max,rank_spread,rank_median,stable_top20,stable_top30,ever_top20,volatile
MccJ25,POLR2A,0.9999,-15.582,-15.8,-15.582,-15.7564,0.8,both,False,1,1,1,1,1,0,1.0,True,True,True,False
Ubonodin,POLR2A,0.993,-15.726,-15.7,-15.7,-15.7052,0.8,both,False,2,2,2,2,2,0,2.0,True,True,True,False
Capi-var1,POLR2A,0.9997,-13.751,-15.4,-13.751,-15.0702,0.8,both,False,3,8,3,3,8,5,3.0,True,True,True,False
Capistruin,POLR2A,0.9995,-13.747,-15.4,-13.747,-15.0694,0.8,both,False,4,9,4,4,9,5,4.0,True,True,True,False
Anantin,POLR2A,0.9995,,-14.79,-14.79,-14.79,0.8,exp_only,False,9,3,5,3,9,6,5.0,True,True,True,False
RES-701-3,POLR2A,1.0,-15.044,-14.5,-14.5,-14.6088,0.8,both,False,11,4,6,4,11,7,6.0,True,True,True,False
Anantin,EDNRB,0.9639,,-14.9,-14.9,-14.9,0.85,exp_only,False,8,6,7,6,8,2,7.0,True,True,True,False
RES-701-1,POLR2A,1.0,-15.044,-14.4,-14.4,-14.5288,0.8,both,False,14,5,8,5,14,9,8.0,True,True,True,False
MccJ25,C3,0.9999,-11.079,-15.0,-11.079,-14.4118,0.85,both,False,7,36,9,7,36,29,9.0,False,True,True,False
Ubonodin,EDNRB,0.8469,,-15.8,-15.8,-15.8,0.85,exp_only,False,5,21,10,5,21,16,10.0,True,True,True,False
Ubonodin,NPR1,0.993,-14.381,-14.0,-14.0,-14.1905,0.5,both,False,16,7,11,7,16,9,11.0,True,True,True,False
Ubonodin,CLPB,0.9646,-14.45,-13.9,-13.9,-14.175,0.5,both,False,17,10,12,10,17,7,12.0,True,True,True,False
RES-701-1,EDNRB,0.9825,-8.384,-14.5,-8.384,-13.5826,0.85,both,False,12,59,14,12,59,47,14.0,False,False,True,True
RES-701-3,EDNRB,0.9795,-8.394,-14.5,-8.394,-13.5841,0.85,both,False,13,61,15,13,61,48,15.0,False,False,True,True
RES-701-3,NPR1,1.0,-15.127,-12.5,-12.5,-13.8135,0.5,both,False,28,16,13,13,28,15,16.0,True,True,True,False
RES-701-3,CLPB,0.9989,-13.643,-12.9,-12.9,-13.2715,0.5,both,False,22,11,16,11,22,11,16.0,True,True,True,False
MccJ25,EDNRB,0.9835,-4.842,-14.8,-4.842,-13.3063,0.85,both,False,10,71,17,10,71,61,17.0,False,False,True,True
RES-701-1,CLPB,0.9991,-13.208,-12.8,-12.8,-13.004,0.5,both,False,24,13,18,13,24,11,18.0,True,True,True,False
Chaxapeptin,POLR2A,0.8584,-12.804,-14.6,-12.804,-14.2408,0.8,both,False,15,55,19,15,55,40,19.0,False,False,True,True
Anantin,NPR1,0.9995,,-12.82,-12.82,-12.82,0.5,exp_only,False,23,12,20,12,23,11,20.0,True,True,True,False
MccJ25,CLPB,0.9989,-12.965,-12.6,-12.6,-12.7825,0.5,both,False,27,14,21,14,27,13,21.0,True,True,True,False
MccJ25,NPR1,0.9999,-13.51,-12.0,-12.0,-12.755,0.5,both,False,36,19,22,19,36,17,22.0,False,True,True,False
Anantin,CLPB,0.9959,,-12.62,-12.62,-12.62,0.5,exp_only,False,26,15,23,15,26,11,23.0,True,True,True,False
Siamycin-I,POLR2A,0.8634,-14.524,-13.7,-13.7,-13.8648,0.8,both,False,19,50,24,19,50,31,24.0,False,False,True,True
RES-701-1,NPR1,1.0,-12.677,-12.2,-12.2,-12.4385,0.5,both,False,33,17,25,17,33,16,25.0,False,True,True,False
PB1m7,POLR2A,0.639,-13.775,-16.0,-13.775,-15.555,0.8,both,False,6,73,29,6,73,67,29.0,False,False,True,True
RES-701-3,C3,1.0,-11.141,-12.4,-11.141,-12.2112,0.85,both,False,30,33,28,28,33,5,30.0,False,True,True,False
RES-701-1,C3,1.0,-11.201,-12.4,-11.201,-12.2202,0.85,both,False,30,31,27,27,31,4,30.0,False,True,True,False
Anantin,C3,0.9995,,-12.06,-12.06,-12.06,0.85,exp_only,False,34,18,30,18,34,16,30.0,False,True,True,False
Capistruin,EDNRB,0.9802,-3.714,-13.5,-3.714,-12.0321,0.85,both,False,18,74,32,18,74,56,32.0,False,False,True,True
RES-701-1,PLXNB1,1.0,-12.395,-11.3,-11.3,-11.6833,0.65,both,False,54,24,33,24,54,30,33.0,False,False,True,True
