final_rank,peptide_id,target_id,composite_final,binding_prob,dock,evidence,struct_source
1,MccJ25,POLR2A,1.858,0.9999,-15.8,C: E. coli RpoC homology,experimental PDB
2,Ubonodin,POLR2A,1.8103,0.993,-15.7,C: bacterial RNAP only,experimental PDB
3,Capistruin,POLR2A,1.6972,0.9995,-15.4,C: E. coli RpoC homology,experimental PDB
4,Ubonodin,EDNRB,1.6889,0.8469,-15.8,,experimental PDB
5,MccJ25,C3,1.5373,0.9999,-15.0,,experimental PDB
6,Anantin,EDNRB,1.4575,0.9639,-14.9,,PREDICTED (LassoPred+tleap)
7,Anantin,POLR2A,1.4527,0.9995,-14.79,,PREDICTED (LassoPred+tleap)
8,MccJ25,EDNRB,1.439,0.9835,-14.8,,experimental PDB
9,RES-701-3,POLR2A,1.337,1.0,-14.5,,experimental PDB
10,RES-701-1,EDNRB,1.3177,0.9825,-14.5,B: IC50 10 nM,experimental PDB
11,RES-701-3,EDNRB,1.3143,0.9795,-14.5,A: 9KDF cryo-EM IC50 31.5 nM,experimental PDB
12,RES-701-1,POLR2A,1.2969,1.0,-14.4,,experimental PDB
13,Chaxapeptin,POLR2A,1.2206,0.8584,-14.6,,experimental PDB
14,Ubonodin,NPR1,1.1288,0.993,-14.0,,experimental PDB
15,Ubonodin,CLPB,1.0574,0.9646,-13.9,,experimental PDB
16,Capistruin,EDNRB,0.9142,0.9802,-13.5,,experimental PDB
17,Siamycin-I,POLR2A,0.8653,0.8634,-13.7,,experimental PDB
18,Lassomycin,CLPB,0.7693,0.0058,-15.825,C: M. tuberculosis ClpC1 homology,experimental PDB
19,RES-701-3,CLPB,0.6944,0.9989,-12.9,,experimental PDB
20,Anantin,NPR1,0.663,0.9995,-12.82,B: Kd 0.6 uM (docking from PREDICTED model),PREDICTED (LassoPred+tleap)
21,RES-701-1,CLPB,0.6545,0.9991,-12.8,,experimental PDB
22,Chaxapeptin,EDNRB,0.5839,0.8627,-13.0,,experimental PDB
23,Anantin,CLPB,0.5788,0.9959,-12.62,,PREDICTED (LassoPred+tleap)
24,MccJ25,CLPB,0.5741,0.9989,-12.6,,experimental PDB
25,RES-701-3,NPR1,0.5353,1.0,-12.5,,experimental PDB
26,Sphingopyxin-I,EDNRB,0.5071,0.6481,-13.4,,experimental PDB
27,RES-701-1,C3,0.4952,1.0,-12.4,,experimental PDB
28,RES-701-3,C3,0.4952,1.0,-12.4,,experimental PDB
29,MccJ25,PPIA,0.4786,0.6586,-13.3,,experimental PDB
30,RES-701-1,NPR1,0.415,1.0,-12.2,,experimental PDB
31,Anantin,C3,0.3583,0.9995,-12.06,,PREDICTED (LassoPred+tleap)
32,Chaxapeptin,NPR1,0.3377,0.8575,-12.4,,experimental PDB
33,MccJ25,NPR1,0.3347,0.9999,-12.0,,experimental PDB
34,Siamycin-I,PLXNB1,0.2639,0.8633,-12.2,,experimental PDB
35,Ubonodin,PPIA,0.2498,0.1977,-14.0,,experimental PDB
36,Siamycin-I,C3,0.2237,0.8632,-12.1,,experimental PDB
37,Anantin,PPIA,0.216,0.3629,-13.46,,PREDICTED (LassoPred+tleap)
38,Sphingopyxin-I,POLR2A,0.2021,0.1908,-13.9,,experimental PDB
39,Chaxapeptin,C3,0.178,0.8581,-12.0,,experimental PDB
40,Anantin,ITGAV,0.1739,0.9995,-11.6,,PREDICTED (LassoPred+tleap)
41,Capistruin,C3,0.1739,0.9995,-11.6,,experimental PDB
42,Anantin,ITGB3,0.1719,0.9977,-11.6,,PREDICTED (LassoPred+tleap)
43,RES-701-1,MDM2,0.1634,0.99,-11.6,,experimental PDB
44,Sphingopyxin-I,PPIA,0.1524,0.4722,-13.0,,experimental PDB
45,Capistruin,PLXNB1,0.1338,0.9995,-11.5,,experimental PDB
46,RES-701-3,MDM2,0.1213,0.9882,-11.5,,experimental PDB
47,Siamycin-I,NPR1,0.1032,0.863,-11.8,,experimental PDB
48,Siamycin-I,EDNRB,0.0826,0.1552,-13.7,,experimental PDB
49,RES-701-3,ITGAV,0.0542,1.0,-11.3,,experimental PDB
50,RES-701-1,PLXNB1,0.0542,1.0,-11.3,,experimental PDB
51,Capistruin,ITGAV,0.0537,0.9995,-11.3,,experimental PDB
52,RES-701-3,ITGB3,0.0537,0.9995,-11.3,,experimental PDB
53,Capistruin,ITGB3,0.052,0.998,-11.3,,experimental PDB
54,RES-701-1,PPIA,0.0301,0.3616,-13.0,,experimental PDB
55,Sphingopyxin-I,CLPB,0.0148,0.4203,-12.8,,experimental PDB
56,RES-701-3,PLXNB1,0.0141,1.0,-11.2,,experimental PDB
57,RES-701-3,PPIA,0.0101,0.3435,-13.0,,experimental PDB
58,Lassomycin,PPIA,0.0038,0.5917,-12.3,,experimental PDB
59,Chaxapeptin,CLPB,-0.0113,0.8682,-11.5,,experimental PDB
60,Siamycin-I,ITGAV,-0.0169,0.8631,-11.5,,experimental PDB
61,RES-701-1,ITGAV,-0.026,1.0,-11.1,,experimental PDB
62,RES-701-1,ITGB3,-0.0264,0.9996,-11.1,,experimental PDB
63,Anantin,PLXNB1,-0.0305,0.9995,-11.09,,PREDICTED (LassoPred+tleap)
64,Lassomycin,EDNRB,-0.0384,0.082,-13.6,,experimental PDB
65,Capistruin,NPR1,-0.0666,0.9995,-11.0,,experimental PDB
66,Siamycin-I,CLPB,-0.0792,0.6254,-12.0,,experimental PDB
67,Chaxapeptin,PLXNB1,-0.1026,0.8581,-11.3,,experimental PDB
68,MccJ25,ITGAV,-0.1062,0.9999,-10.9,NEGATIVE: WT inactive (>10 uM),experimental PDB
69,MccJ25,ITGB3,-0.1067,0.9995,-10.9,NEGATIVE: WT inactive (>10 uM),experimental PDB
70,MccJ25,PLXNB1,-0.1463,0.9999,-10.8,,experimental PDB
71,Capistruin,CLPB,-0.1498,0.9968,-10.8,,experimental PDB
72,Siamycin-I,ITGB3,-0.1542,0.7389,-11.5,,experimental PDB
73,Chaxapeptin,PPIA,-0.1582,0.5902,-11.9,,experimental PDB
74,Ubonodin,ITGAV,-0.194,0.993,-10.7,,experimental PDB
75,Ubonodin,ITGB3,-0.2119,0.9768,-10.7,,experimental PDB
76,Chaxapeptin,ITGB3,-0.2517,0.8683,-10.9,,experimental PDB
77,Chaxapeptin,ITGAV,-0.2633,0.8578,-10.9,,experimental PDB
78,Lassomycin,FKBP1A,-0.3124,0.5232,-11.7,,experimental PDB
79,Lariocidin,PPIA,-0.3205,0.6466,,,experimental PDB
80,RES-701-1,FKBP1A,-0.3216,0.1522,-12.7,,experimental PDB
81,Lassomycin,POLR2A,-0.3292,0.0002,-13.1,,experimental PDB
82,Capistruin,PPIA,-0.3341,0.5761,-11.5,,experimental PDB
83,Anantin,MDM2,-0.3687,0.9764,-10.31,,PREDICTED (LassoPred+tleap)
