af_len,cos_old,cx,cy,cz,exp_len,fit,local_rmsd,matched_residues,rmsd,status,sx,sy,sz,target
1663,"36.1,20.3,-36.6",-49.5,7.6,49.7,2246,local<=15A,0.55,30,0.55,ok,38,38,38,C3
707,"-3.0,12.8,-19.7",-3.0,12.8,-19.7,300,global(fallback),0.0,300,0.0,ok,112,101,124,CLPB
,,,,,,,,,,missing,,,,CTRL_9KDF
442,"113.4,124.9,124.8",-28.5,0.8,18.7,907,global(fallback),10.18,315,10.18,ok,65,95,126,EDNRB
108,"15.0,31.5,15.8",-0.3,-0.5,3.0,107,local<=15A,0.4,77,0.4,ok,42,46,55,FKBP1A
,,,,,,,,,,missing,,,,ITGAVB3
491,"23.5,-25.5,-7.6",-0.5,-2.0,3.6,98,local<=15A,26.82,43,26.82,ok,38,38,38,MDM2
1061,"-7.5,-0.8,27.7",-7.5,-0.8,27.7,430,local<=15A,0.0,70,0.0,ok,98,90,123,NPR1
2135,"40.7,-13.4,10.5",0.7,10.9,11.8,1018,local<=15A,30.76,56,30.76,ok,38,38,38,PLXNB1
1970,"136.0,120.6,144.4",-12.0,-6.5,-33.5,1428,global(fallback),1.74,1428,1.74,ok,120,64,106,POLR2A
165,"-1.5,65.7,57.6",-0.4,-15.2,-6.5,336,local<=15A,0.22,33,0.22,ok,56,53,83,PPIA
