id,EDNRB|P24530|human,PLXNB1|O43157|human,POLR2A|P24928|human,PPIA|P62937|human,FKBP1A|P62942|human,NPR1|P16066|human,C3|P01024|human,MDM2|Q00987|human,ITGAV|P06756|human,ITGB3|P05106|human,CLPB|Q9H078|human
RES-701-3,0.023154405876994133,0.0036461856216192245,0.0036050882190465927,-0.7551348805427551,-0.7999157905578613,0.003163328394293785,0.003539344295859337,0.14156892895698547,0.002448698505759239,0.206462100148201,0.24599486589431763
MccJ25,-0.4579406976699829,-2.7459113597869873,-2.7513933181762695,-0.665306568145752,-0.7259525656700134,-2.753202438354492,-2.7516746520996094,-0.6108207702636719,-2.754894971847534,-1.7784631252288818,-1.4558855295181274
Capistruin,-0.3302244544029236,-0.03283480554819107,-0.03299693018198013,-0.9175767302513123,-0.9159764051437378,-0.033119477331638336,-0.032846517860889435,-0.21251273155212402,-0.03380734473466873,0.08620976656675339,0.07513003796339035
Anantin,-0.24351029098033905,0.7909746170043945,0.7930466532707214,-0.9453792572021484,-0.9463884234428406,0.7935878038406372,0.7934499979019165,-0.08047433942556381,0.7934505939483643,0.5773821473121643,0.47147586941719055
Siamycin-I,-0.1626807004213333,-1.973100185394287,-1.977660894393921,-0.5594279170036316,-0.6426243185997009,-1.978596568107605,-1.9781110286712646,-0.24026788771152496,-1.9795448780059814,-1.1512424945831299,-0.8817306756973267
Chaxapeptin,-0.048068538308143616,-0.9227482080459595,-0.9254816770553589,-0.705640435218811,-0.751602828502655,-0.9261203408241272,-0.9255190491676331,-0.003274718299508095,-0.9272967576980591,-0.39997607469558716,-0.24024654924869537
Sphingopyxin-I,-0.4188317656517029,-1.6102159023284912,-1.6154379844665527,-0.7360847592353821,-0.7581901550292969,-1.6165456771850586,-1.615646243095398,-0.3712506890296936,-1.617769718170166,-0.9140596985816956,-0.6787360906600952
Lassomycin,-0.2390681654214859,-0.39326560497283936,-0.3947560787200928,-0.745786726474762,-0.7784342765808105,-0.39497390389442444,-0.3947523534297943,-0.1887376755475998,-0.395365446805954,-0.16845232248306274,-0.13220469653606415
Ubonodin,-0.70367431640625,0.1329461932182312,0.134145125746727,-0.9261983633041382,-0.8899699449539185,0.13459616899490356,0.13454677164554596,-0.6256369948387146,0.1343911588191986,-0.11694375425577164,-0.24175484478473663
Lariocidin,-0.3408903181552887,0.47372981905937195,0.4751908779144287,-0.8260809183120728,-0.827966570854187,0.47555503249168396,0.4754411578178406,-0.22344714403152466,0.475553423166275,0.27289941906929016,0.18369276821613312
